iter	Precision	Logloss
0	0.2440944882	0.6566805317
1	0.247382199	0.6098385396
2	0.2446134347	0.5624522678
3	0.3060897436	0.5071775234
4	0.2897058824	0.4920489755
5	0.317535545	0.4843656845
6	0.3236714976	0.4700684945
7	0.3306709265	0.4539760153
8	0.3311688312	0.4489034915
9	0.3311688312	0.4489034915
10	0.3322932917	0.4343012613
11	0.3385579937	0.4287771067
12	0.3405909798	0.4232742291
13	0.3446153846	0.4132046554
14	0.346749226	0.4098544201
15	0.3489096573	0.4055045292
16	0.347826087	0.4025114871
17	0.3510971787	0.3974601187
18	0.3516483516	0.3965146334
19	0.3522012579	0.3902608593
20	0.3586097946	0.3816647383
21	0.3690095847	0.3764621476
22	0.3747954173	0.37260737
23	0.3685064935	0.3695472052
24	0.375	0.3623403405
25	0.3721682848	0.3605634637
26	0.3752012882	0.3558113742
27	0.3877887789	0.3523539548
28	0.3936877076	0.3461827178
29	0.3980099502	0.3422010942
30	0.4016666667	0.3381134305
31	0.4046822742	0.3328374222
32	0.4160958904	0.3251300303
33	0.413559322	0.3217015612
34	0.4219554031	0.315171451
35	0.4202401372	0.3075887269
36	0.4320557491	0.2995615375
37	0.4328097731	0.2973348832
38	0.4330434783	0.2949036749
39	0.4365217391	0.2925822074
40	0.4414893617	0.2870921058
41	0.4416961131	0.2822951551
42	0.4573502722	0.2746756976
43	0.4540540541	0.2727244019
44	0.4478417266	0.2709372449
45	0.4573502722	0.2663199087
46	0.4640883978	0.2618176893
47	0.4711359404	0.2572801089
48	0.4659300184	0.2534085929
49	0.4659300184	0.2526074256
50	0.4731977819	0.2479624665
51	0.4793233083	0.2440996352
52	0.4811320755	0.2414326593
53	0.4848484848	0.2376031431
54	0.4913957935	0.2357360533
55	0.4895238095	0.2315496155
56	0.5019455253	0.2237314854
57	0.5058823529	0.2202942421
58	0.5109343936	0.2172545023
59	0.5149700599	0.2148501707
60	0.5180722892	0.2125109142
61	0.5180722892	0.2099819065
62	0.5222672065	0.2054205488
63	0.5254582485	0.2031150053
64	0.527607362	0.2002563127
65	0.539748954	0.1972185094
66	0.5466101695	0.1946822889
67	0.5479744136	0.1927118846
68	0.5548387097	0.1913538541
69	0.555075594	0.1901939479
70	0.5586956522	0.1883070227
71	0.5623632385	0.1870893077
72	0.5562770563	0.1840399473
73	0.5623632385	0.1826094604
74	0.5758928571	0.1810423359
75	0.5758928571	0.1810423359
76	0.5876993166	0.1773319336
77	0.5876993166	0.1773319336
78	0.5876993166	0.17552962
79	0.5876993166	0.17552962
80	0.5917431193	0.1741269785
81	0.5931034483	0.1730344023
82	0.5944700461	0.1711498993
83	0.6028037383	0.1672735614
84	0.608490566	0.165367657
85	0.6113744076	0.1627341154
86	0.6128266033	0.1598471146
87	0.618705036	0.1581818528
88	0.618705036	0.1569662685
89	0.6201923077	0.1562047724
90	0.6231884058	0.1540242608
91	0.6231884058	0.1526452911
92	0.6231884058	0.1526452911
93	0.6292682927	0.1514747381
94	0.630806846	0.1502234224
95	0.630806846	0.1502234224
96	0.6339066339	0.1488845966
97	0.6339066339	0.1488845966
98	0.6354679803	0.1479154106
99	0.637037037	0.1475465875
