iter	Precision_SumError	Precision_SumWeight
0	63	241
1	71	287
2	74	297
3	74	239
4	76	263
5	76	253
6	76	244
7	76	242
8	76	242
9	76	242
10	77	249
11	77	249
12	77	251
13	77	252
14	77	249
15	77	246
16	77	249
17	77	249
18	77	247
19	76	249
20	76	245
21	78	243
22	77	233
23	78	240
24	77	238
25	77	240
26	77	238
27	77	234
28	78	233
29	78	236
30	78	232
31	78	233
32	78	227
33	78	229
34	77	224
35	77	223
36	78	223
37	78	223
38	77	222
39	77	222
40	78	217
41	79	218
42	80	216
43	80	215
44	79	216
45	79	215
46	79	216
47	80	214
48	80	216
49	80	218
50	81	212
51	80	209
52	81	208
53	81	206
54	81	204
55	81	204
56	80	200
57	80	200
58	80	199
59	80	198
60	80	196
61	80	198
62	80	194
63	80	194
64	80	193
65	79	188
66	79	188
67	79	187
68	79	188
69	79	186
70	79	187
71	79	186
72	79	185
73	79	183
74	80	183
75	80	183
76	80	179
77	80	179
78	80	179
79	80	179
80	80	178
81	80	177
82	80	178
83	79	178
84	79	178
85	79	176
86	79	177
87	79	173
88	79	173
89	79	172
90	79	169
91	79	169
92	79	169
93	79	168
94	79	167
95	79	167
96	79	166
97	79	166
98	79	166
99	79	165
