iter	Passed	Remaining
0	73	7313
1	99	4884
2	115	3722
3	135	3242
4	146	2786
5	156	2448
6	166	2214
7	184	2124
8	195	1973
9	209	1883
10	219	1775
11	229	1682
12	241	1613
13	255	1571
14	265	1503
15	277	1455
16	286	1397
17	297	1356
18	307	1312
19	316	1266
20	328	1234
21	340	1206
22	349	1168
23	363	1151
24	388	1164
25	426	1213
26	454	1228
27	467	1201
28	478	1170
29	488	1140
30	500	1113
31	510	1085
32	521	1058
33	531	1030
34	541	1006
35	551	980
36	561	956
37	569	929
38	578	905
39	589	883
40	600	864
41	618	853
42	628	833
43	636	810
44	646	790
45	659	773
46	669	755
47	682	739
48	693	722
49	704	704
50	714	686
51	725	669
52	733	650
53	743	633
54	752	615
55	772	607
56	786	593
57	802	580
58	813	565
59	827	551
60	840	537
61	855	524
62	868	510
63	884	497
64	905	487
65	922	475
66	944	465
67	957	450
68	969	435
69	981	420
70	1042	425
71	1052	409
72	1097	405
73	1106	388
74	1116	372
75	1123	354
76	1132	338
77	1138	320
78	1146	304
79	1151	287
80	1160	272
81	1166	256
82	1174	240
83	1182	225
84	1191	210
85	1200	195
86	1211	181
87	1223	166
88	1232	152
89	1243	138
90	1256	124
91	1266	110
92	1274	95
93	1284	81
94	1298	68
95	1308	54
96	1329	41
97	1339	27
98	1351	13
99	1364	0
