metric,nestimators,result_scores,train_scores
r2,1.0,0.7950617648565977,0.8434637861200363
mse,1.0,0.20059324666146913,0.1547152672318481
r2,2.0,0.8594234310152367,0.8990810701027647
mse,2.0,0.18985094145646195,0.15362971373770634
r2,4.0,0.9029321118860492,0.9377596529740398
mse,4.0,0.18358566950204794,0.13954793078453498
r2,8.0,0.9106835124412099,0.9503760829813297
mse,8.0,0.1755935720512845,0.13472928993898375
r2,16.0,0.9379382783571347,0.9606073240584408
mse,16.0,0.15247335488212818,0.12699240174892812
r2,32.0,0.9424879251098981,0.9660835080597496
mse,32.0,0.14943868375429417,0.12071318862543673
r2,64.0,0.9473661877636719,0.9677851612242199
mse,64.0,0.14440897529010469,0.11810746067909988
r2,128.0,0.9493434444082182,0.968855419300789
mse,128.0,0.14284601865803634,0.11679267806747565
r2,256.0,0.9505208020922253,0.96966933500742
mse,256.0,0.14130102035982267,0.11584050981657683
r2,512.0,0.9496752270882312,0.9699062712591534
mse,512.0,0.14239014213068182,0.11496814770298522
r2,1024.0,0.9498993324262189,0.9701677644709131
mse,1024.0,0.14173085717940315,0.11496074409197891
r2,2048.0,0.9486533095343724,0.9701229670042548
mse,2048.0,0.14268101345818587,0.11469993652539158
r2,4096.0,0.950054950329059,0.9702249567392409
mse,4096.0,0.14151522894827062,0.11472665104867845
