,prediction
0,-0.6635416837266253
1,-0.13912982842960436
2,-1.2862664588961115
3,-1.373773512857929
4,-0.33683473921638213
5,-0.7962507508326201
6,-0.883319053296385
7,-0.21858401163178492
8,0.1883257973933818
9,-0.20609588609129012
10,0.08367712402309695
11,-0.8062533756587446
12,-0.9116560347640296
13,-0.22246381762494807
14,-0.22670735542997025
15,-0.13683528691646016
16,0.03443692999267636
17,-0.4415728299904155
18,-0.6147182657306266
19,-0.28609415146204314
20,-0.3441624196761266
21,-0.8131112358615038
22,-0.10095617477499579
23,0.7772682227618491
24,0.02037263326745927
25,0.10619313354331714
26,0.007475309438623215
27,0.1986277431896818
28,0.08799643928892333
29,0.20363890667264847
30,0.32232308133304477
31,-2.376279008310152
32,0.24230966047013125
33,0.8800982370728383
34,0.6920943568181853
35,0.48855609709871667
36,-0.8205041390642976
37,-0.8205041390642976
38,-0.8205041390642976
39,-0.09747647377487728
40,0.26654329243524144
41,0.5444798631720479
42,0.5423580942695367
43,0.030966322287854318
44,0.7996225736990208
45,0.8922984082622782
46,0.7834819745477739
47,0.20742424343134275
48,0.9708796351159967
49,1.0137317892006426
50,0.4715440571482255
51,0.5398574380630053
52,0.33753161771640156
53,0.38655963485657135
54,0.48560077612736247
55,0.5675162112564553
56,0.6720133297051322
57,0.7280128732392673
58,-2.3184229169863175
59,-2.7172927374201823
60,-2.3342679840404283
61,-2.435241450561719
62,-1.5605838981049176
63,-2.2094183025774856
64,-2.3224853466600224
65,-1.9595257071265486
66,-1.0595054385386578
67,-2.356129781482376
68,-2.6373247830337494
69,-2.2916757466463418
70,-1.4383245428437914
71,-1.5353967330913592
72,-2.2094183025774856
73,-2.2205032821354265
74,-1.5095591448725654
75,-0.2316328903822283
76,-0.39274107647372875
77,-1.876663053737408
78,-0.5796105681401467
79,0.2184571891328649
80,-1.5526234758474624
81,-1.8826418953948378
82,-1.0061959948630632
83,-0.9064319366162037
84,-0.7509812957483278
85,-2.2347999630737743
86,-2.231354614522554
87,-2.3625708656507114
88,-0.6226673213689624
89,-0.15055100732197893
90,-0.31060891780673566
91,-0.18957946681896173
92,-0.18957946681896173
93,-0.18957946681896173
94,-0.18957946681896173
95,-0.12834821130641547
96,0.21151370039939707
97,-0.07154984703963857
98,0.3581051983246797
99,0.5070457975348865
100,0.36966126109728603
101,-1.1708945170474552
102,-0.7741237322778615
103,-0.16681790224123152
104,-0.5157301686823977
105,-0.2926431283007634
106,-0.6146121772855005
107,-0.39572140400714817
108,-0.6712179405060671
109,-0.4143070892270022
110,0.7755253411633574
111,-0.44845493898063254
112,-0.32683211439025794
113,-0.4057088733411125
114,-0.7981148763683974
115,-0.3843244739022315
116,-0.45705946965492283
117,-0.15587816281649802
118,-0.6000477493189779
119,-0.03631648515999198
120,-0.4836914582544797
121,-0.36770647674792
122,1.0887908796761925
123,-0.4684859529695543
124,-0.13592595738681262
125,0.3342277204253488
126,0.627228850369985
127,-0.7773518521081102
128,-0.02301754078889486
129,-0.5365757663186265
130,-1.8688969738768997
131,-1.8688969738768997
132,-1.8688969738768997
133,-1.8688969738768997
134,-1.8688969738768997
135,-1.0041349080700377
136,-1.8688969738768997
137,-1.0041349080700377
138,-0.9889136819690391
139,-0.5365757663186265
140,-1.8688969738768997
141,-1.0041349080700377
142,-0.2936340088120379
143,-0.3493152870107965
144,-0.5293928448653544
145,0.29870324680044646
146,0.003913768780836513
147,-0.11432938105768051
148,-0.254820793388244
149,0.3652661683706554
150,0.19810108983709387
151,0.31169150358224756
152,-0.5414566166253464
153,0.005696261324748254
154,-0.08659483040342698
155,-1.8618561378963108
156,-0.8825233899579412
157,-0.3598938205390311
158,-0.08503381471086513
159,-0.0020271841461948006
160,0.5688498945666055
161,0.8552432299291348
162,0.4609049016513481
163,0.583808365329309
164,0.5651367989872107
165,0.35488465624051097
166,0.480056897094944
167,-1.9777224013809431
168,-1.7332074797317276
169,-1.9700309891093388
170,-1.9338788255174426
171,-1.6971374083890374
172,-1.6594014958663394
173,-0.9065296895406395
174,-0.607883138766108
175,-0.8558118350245427
176,-1.329489164764088
177,-0.6518037550480895
178,-0.4904886964885958
179,-0.41156647106125904
180,-0.19534306440320665
181,-0.8181201260206461
182,-0.4059028636407705
183,-0.16896493029734436
184,-0.0805326335391094
185,0.09769595427183168
186,-1.535207289439351
187,-1.8528916642832014
188,-0.775866613876352
189,-0.5204511044904854
190,-0.16131898450222346
191,0.10068158622750822
192,-0.9942117894369146
193,0.18771957770694989
194,0.3025224308249666
195,1.1605506195083366
196,0.47067261634898006
197,0.5193975236459333
198,0.6352157947387231
199,0.600661272612112
200,0.9048774667557373
201,0.8548416093868738
202,0.9526187826114554
203,1.3514340432735406
204,-0.5039391957812999
205,-0.7924618777924225
206,-0.6576840860064781
207,-0.24698540394111346
208,-0.1630239773703129
209,-0.403387051942078
210,-0.07237140101052164
211,0.5917649987137266
212,-0.009486212204665799
213,-0.5699034754111574
214,-0.1854995722447706
215,-0.5575517493001098
216,-0.19451405898201102
217,0.30931209131300264
218,0.26339120265733185
219,-0.1572194238727285
220,-0.2318602227646404
221,-0.5536870987991076
222,-0.6608212728837624
223,-1.0436641603575865
