"logS","smiles","Category"
-4.35,"Brc1cccc2ccccc12","no soluble"
-3.33,"N#Cc1cc(Br)c(O)c(Br)c1","no soluble"
-6.98,"Brc1cc(Br)c(Br)cc1Br","no soluble"
-6.09,"COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl","no soluble"
-3.92,"CON(C)C(=O)Nc1ccc(Br)c(Cl)c1","no soluble"
-4.5,"Brc1ccc(Br)c(Br)c1","no soluble"
-5.04,"Brc1cccc(Br)c1Br","no soluble"
-3.5,"Brc1ccccc1Br","no soluble"
-2.23,"Cc1ccccc1Br","no soluble"
-3.19,"Clc1ccccc1Br","no soluble"
-2.7,"Fc1ccccc1Br","no soluble"
-4.4,"Brc1ccc2ccccc2c1","no soluble"
-5.6,"Brc1cc(Br)cc(Br)c1","no soluble"
-3.54,"Brc1cccc(Br)c1","no soluble"
-3.52,"Cc1cccc(Br)c1","no soluble"
-3.21,"Clc1cccc(Br)c1","no soluble"
-2.67,"Fc1cccc(Br)c1","no soluble"
-4.07,"Brc1ccc(Br)cc1","no soluble"
-4.45,"O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1","no soluble"
-3.19,"Cc1ccc(Br)cc1","no soluble"
-3.63,"Clc1ccc(Br)cc1","no soluble"
-4.93,"CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1","no soluble"
-3.08,"CC(=O)Nc1ccc(Br)cc1","no soluble"
-1.09,"Oc1ccc(Br)cc1","no soluble"
-2.55,"Brc1ccccc1","no soluble"
-2.3,"BrC1CCCCC1","no soluble"
-3.12,"Nc1cnn(-c2ccccc2)c(=O)c1Br","no soluble"
-2.52,"CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O","no soluble"
-3.14,"BrC(Br)(Br)Br","no soluble"
-2.65,"C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O","no soluble"
-2.68,"CCC(Br)(CC)C(=O)NC(N)=O","no soluble"
-8.4,"CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1","no soluble"
-2.28,"COP(=O)(OC)OC(Br)C(Cl)(Cl)Br","no soluble"
-1.17,"BrCBr","no soluble"
-1.68,"BrCCBr","no soluble"
-2.08,"BrCCCBr","no soluble"
-5.06,"CCCCCCCCBr","no soluble"
-4.43,"CCCCCCCBr","no soluble"
-3.81,"CCCCCCBr","no soluble"
-3.07,"CCCCCBr","no soluble"
-2.37,"CCCCBr","no soluble"
-1.85,"ClCCCBr","no soluble"
-1.73,"CCCBr","no soluble"
-2.89,"CC(C)CCBr","no soluble"
-1.32,"ClCCBr","no soluble"
