"logS","smiles","Category","id"
-1.27,"CCC(C)(C(C)(C)C)O","no soluble",3139
-8.6,"CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3","no soluble",4225
-0.534,"NCC(=O)NCC(=O)NCC(=O)O","no soluble",1962
-6.29,"ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl","no soluble",231
-3.85,"CC1CCCCC1","no soluble",106
-1.5,"C1CCCNC1CCC","no soluble",3851
-6.29,"Clc1c(Cl)ccc(c1c1ccccc1)Cl","no soluble",4093
-6.2,"Nc1cc2c3ccccc3ccc2c2ccccc12","no soluble",951
-7.74,"Brc1ccc(-c2ccc(Br)cc2)cc1","no soluble",1683
-4.001,"Cc1cc(=O)n(O)c2ccc3ccccc3c12","no soluble",2127
-3.069,"OC(=S)CCCCCCCCC(O)=S","no soluble",2027
-2.12,"c1c(S)cccc1","no soluble",3277
-3.73,"O=C1C(CCCC)C(N(c2ccc(cc2)O)N1c1ccccc1)=O","no soluble",3525
-2.55,"c1c(Br)cccc1","no soluble",3930
-1.5,"CCCCOP(=O)(OC)OCCCC","no soluble",4906
0.01,"NNC(=O)c1cc[nH0]cc1","soluble",3014
-3.494,"NS(=O)(=O)c1cc2c(s1)C(=O)CCS2","no soluble",2656
-8.65,"Clc1c(c2c(ccc(Cl)c2Cl)Cl)c(ccc1Cl)Cl","no soluble",4115
-3.82,"OC1CC2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(CC12)O","no soluble",3535
0.49,"C1C(C)NCC(C)N1","soluble",2992
-4.25,"C1C(CC)CCCC1","no soluble",3581
-1.411,"CC(SC(=S)SC(C)C(=O)O)C(=O)O","no soluble",2701
-2.6,"ClC(C(Cl)Cl)(Cl)Cl","no soluble",3366
-4.45,"c1c(cccc1)N=Nc1ccccc1","no soluble",3601
-2.649,"O=c1[nH]c(=O)n(Cc2ccccc2)cc1F","no soluble",2825
-3.15,"O=C(Oc1ccccc1)c1ccccc1O","no soluble",1162
-1.52,"CN1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)OC","no soluble",4800
-3.09,"CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO","no soluble",4318
-3.14,"CCCCCCCCCNC(=O)c1cccnc1","no soluble",2011
-1.36,"ClCC=C","no soluble",3837
0.37,"C1=C(C=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-]","soluble",4866
-4.099,"CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14","no soluble",4702
-5.96,"c1cc2c3c(ccc4c3c1CCC4)CCC2","no soluble",85
-3.43,"C1=C2CCC3C4CCC(C4(C)CC(C3(C2(C)CCC1=O)F)O)(C(CO)=O)O","no soluble",3488
-0.45,"O=C(C)CC1CCCCN1","soluble",3046
0.76,"c1cc[nH0]cc1","soluble",2981
-4.524,"CCCOC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O","no soluble",2598
-2.254,"NS(=O)(=O)c1cc2c(s1)C(O)CCS2","no soluble",2653
0.58,"O=COC","soluble",2988
-7.21,"c1c(c2c(Cl)c(Cl)c(c(c2)Cl)Cl)c(Cl)ccc1","no soluble",3722
-1.03,"c1c(c(=O)[nH]c(=O)[nH]1)F","no soluble",4811
-3.535,"CCC1(CC)C(=O)N(c2ccccc2)N=C1OC(C)=O","no soluble",2281
-2.53,"CC(C)C1CCC(C)CC1O","no soluble",3928
-1.53,"NCc1ccccc1","no soluble",984
-4.95,"CC=C(C(=CC)c1ccc(cc1)O)c1ccc(cc1)O","no soluble",3641
-5.507,"CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C","no soluble",4423
-2.8612,"NS(=O)(=O)c1ccc(C(=O)c2ccc(O)cc2)s1","no soluble",2940
-1.94,"Cc1cc(C)c2ccccc2n1","no soluble",621
-1.5471,"CC(C)CNCc1cccc(C(=O)c2ccc(S(N)(=O)=O)s2)c1","no soluble",2930
-2.96,"CCCCI","no soluble",606
-1.256,"CCOC(=O)C(O)c1ccccc1","no soluble",2360
-2.37,"c1c(OCC)ccc(c1)NC(C)=O","no soluble",3326
-2.964,"CCCCCCCCCNC(=O)OCC1OC(O)C(O)C(O)C1O","no soluble",2723
-3.523,"COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1","no soluble",2879
-3.46,"CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ","no soluble",4172
-4.411,"CCN(CC)c1nc(Cl)nc(n1)N(CC)CC","no soluble",4352
-6.57,"Cc1cc2c3ccccc3ccc2c4ccccc14","no soluble",4150
-0.711,"CC(=O)NC(CCC(=O)O)C(=O)O","no soluble",1997
-2.668,"CCOC(=O)Oc1ccc(NC(C)=O)cc1","no soluble",2190
-2.824,"NC(=O)OCC1CSC2(CCCCC2)O1","no soluble",1880
-2.41,"Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1","no soluble",1640
-2.63,"CCC(=O)c1ccc(N)cc1","no soluble",965
-2.45,"CC(Oc1ccc(Cl)cc1Cl)C(=O)O","no soluble",339
-4.74,"c1c(C)c2cccc(c2cc1)C","no soluble",3631
-2.64,"CCC1(C(=O)NCNC1=O)c2ccccc2","no soluble",4129
-2.63,"COP(=O)(OC)SCCSC","no soluble",4897
-2.64,"Oc1c(Cl)ccc(Cl)c1Cl","no soluble",324
-3.74,"CCCC(C)C","no soluble",208
-2.16,"Oc1ccc2ncccc2c1","no soluble",627
-1.276,"Cc1oc(C(O)C(O)C(O)CO)cc1C(=O)O","no soluble",2854
-3.81,"c1c(OCC)ccc2c1sc([nH0]2)[S+2]([O-])(N)[O-]","no soluble",3533
-2.09,"CCCCCCC(C)O","no soluble",1453
-1.768,"CC(C)Nc1nc(N)nc(Cl)n1","no soluble",2691
-3.942,"Cc1ccc(S(=O)(=O)Oc2ccccc2C)cc1","no soluble",2293
-8.4,"CCCCCCCCCCCCCCCCCCO","no soluble",1417
-2.28,"C1(C(=O)NC(=O)NC1=O)[N+](=O)[O-]","no soluble",4842
-3.19,"Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1","no soluble",653
-2.09,"CCSCc1ccccc1OC(=O)NC ","no soluble",4198
-1.57,"O=C(NC)Oc1ccccc1C1OCCO1","no soluble",3185
-3.021,"O=[N+]([O-])OC1CCCCCC1O[N+](=O)[O-]","no soluble",2835
-2.34,"O=C(NC)Oc1cccc(c1)N=CN(C)C","no soluble",3914
-1.52,"Cc1c[nH]c(=O)[nH]c1=O","no soluble",777
-2.51,"FC(F)(F)c1ccccc1","no soluble",580
-3.012,"NC(=O)N1c2ccccc2C=Cc2ccccc21","no soluble",1873
-3.32,"CCN1c2ccccc2N(C)C(=O)c2cccnc21","no soluble",654
-6.56,"Clc1ccc(-c2ccc(Cl)cc2)cc1","no soluble",408
-3.78,"c1c(C)c(C)c(cc1)Nc1ccccc1C(O)=O","no soluble",4010
-3.754,"CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23","no soluble",4532
-4.42,"c1cc2c(CC(C(C)=C)O2)c2c1C(C1c3cc(c(cc3OCC1O2)OC)OC)=O","no soluble",4048
-2,"CCCCCC(=O)OC","no soluble",1281
-4.06,"[nH0]1c(NCC)[nH0]c(N(CC)CC)[nH0]c1Cl","no soluble",3550
-2.45,"Sc1[nH0]cc(c([nH0]1)O)C","no soluble",3345
-4.472,"Cc1cccc(N(O)C(=O)c2ccc(Cl)cc2Cl)c1","no soluble",2613
-1.924,"NS(=O)(=O)c1cc(C(=O)c2cccc(CN3CCOCC3)c2)cs1","no soluble",2641
-1.601,"COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ","no soluble",4230
-2.02,"C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O","no soluble",810
-3.336,"CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC","no soluble",2066
-8.77,"Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2","no soluble",1759
-6.14,"Clc1ccc(-c2c(Cl)cccc2Cl)cc1","no soluble",277
-0.043,"O=C(O)c1ccc2ncccc2c1","soluble",1877
-5.35,"O=C(C)OC1(CCC2C3C=C(C)C4=CC(CCC4(C)C3CCC12C)=O)C(C)=O","no soluble",3668
-3.12,"ClC(C(Cl)(F)F)(F)F","no soluble",3438
-1.845,"CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1","no soluble",2642
-3.93,"c1c(Cl)c2ccccc2cc1","no soluble",3538
-4.86,"CCOP(=S)(OCC)ON=C(C#N)c1ccccc1","no soluble",1658
-1.76,"CSc1ncc2nccnc2n1","no soluble",1578
-3.01,"OCCCCCCCCC","no soluble",3422
-1.99,"CC(C)=CCCC(O)(C)C=C","no soluble",4247
-1.39,"CCC1(CC)C(=O)NC(=O)NC1=O","no soluble",799
-2.8239,"CCCCc1cc(O)ccc1C(=O)O","no soluble",2921
-4.22,"Nc1cccc2nc3ccccc3cc12","no soluble",953
-4.65,"O=C(C)C1CCC2C3CC=C4CC(CCC4(C)C3CCC12C)O","no soluble",4063
-1.531,"O=S(=O)(O)CCSc1ccccc1","no soluble",2504
0.54,"COP(=O)(NC(C)=O)SC ","soluble",4540
-1.61,"[O-][S+2](N)([O-])c1ccc(cc1)NC(C)=O","no soluble",3194
-3.71,"CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1","no soluble",1533
1.02,"Oc1ccccn1","soluble",678
-3.672,"O=C(c1ccc(Cl)cc1Cl)N(O)c1ccccc1","no soluble",2328
-0.71,"OCCOc1ccccc1","no soluble",1228
-3.018,"NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O","no soluble",2672
-1.568,"CN1C2CCC1CC(OC(=O)C(COS(=O)(=O)O)c1ccccc1)C2","no soluble",2617
-5.886,"O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","no soluble",4163
-1.55,"CSc1cnc2cncnc2n1","no soluble",1579
-2.12,"CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O","no soluble",2898
-2.873,"COc1c(O)cc(Cl)c(Cl)c1Cl","no soluble",2256
-2.1,"COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC","no soluble",981
-2.168,"ClC(Cl)(Cl)C#N","no soluble",4252
-2.21,"Oc1cc(Cl)c(Cl)cc1Cl","no soluble",298
-2.798,"C=CCOc1ccc([N+](=O)[O-])cc1N","no soluble",2391
-4.4,"CCCCOC(=O)c1ccccc1C(=O)OCCCC","no soluble",1210
-3.52,"CON(C(=O)Nc1ccc(c(c1)Cl)Cl)C","no soluble",3497
-0.02,"NC(=O)CCl ","soluble",4209
-1.2,"Cc1ccc(CO)cc1","no soluble",1408
-3.39,"CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1","no soluble",1646
-3.01,"CN(C)C(=O)NC1CC2CC1C1CCCC21","no soluble",1042
-2.06,"c1c(C(=C)C(O)=O)cccc1","no soluble",3266
1.07,"O=C1CCCN1","soluble",753
-6.001,"COc1ccc(O)c(C(=O)C=Cc2ccccc2)c1","no soluble",2270
-4.29,"O=S(=O)(c1ccc(cc1)C)NC(=O)NN3CC2CCCC2C3","no soluble",4823
-3.27,"OC(=O)c1cccc(c1)I","no soluble",3461
-2.42,"CCSSCC","no soluble",1671
-2.26,"O=C1C=CNC(=S)N1","no soluble",3304
-6.96,"O=C(c1ccccc1C(=O)OCC(CC)CCCC)OCC(CC)CCCC","no soluble",4100
-7.8,"c1ccc2c(c1)c3cccc4ccc5cccc2c5c43","no soluble",4668
0.72,"OC(O)C(Cl)(Cl)Cl","soluble",1767
-4.699,"O=C1Nc2ccc(Cl)cc2C(=O)N2CCCC12","no soluble",2863
