"logS","smiles","Category","id"
-2.118,"C#CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12","no soluble",2461
-2.77,"c1c(CC)cccc1","no soluble",3949
-0.24,"COC(C)(C)C","soluble",1193
-2.352,"CNCc1ccc(C(=O)c2ccc(S(N)(=O)=O)s2)cc1","no soluble",2954
-6.88,"CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1","no soluble",587
-1.7,"c1c(NCC)cccc1","no soluble",3208
-3.104,"CCCCC(CO[N+](=O)[O-])O[N+](=O)[O-]","no soluble",2815
-2.07,"OC1CCN2C1=Nc1ccccc1C2O","no soluble",687
-0.74,"NC(=O)CC(N)C(=O)O","no soluble",997
-2.39,"CC(C)C1CCC(=NO)C(=NO)C1","no soluble",2348
-2.05,"CC(Oc1c(OC(=O)NC)cccc1)C","no soluble",3264
-1.229,"OCCOc1ccc(OCCO)cc1","no soluble",2571
-4.13,"CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ","no soluble",4265
-6.09,"COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl","no soluble",4
-3.2385,"CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23","no soluble",1829
-1.678,"O=[N+]([O-])OCCCCO[N+](=O)[O-]","no soluble",1959
-4.44,"CCCCCCC=C","no soluble",4328
-3.12,"CCCCN(CCCC)CCCC","no soluble",917
-1.52,"CCC(C=O)CC","no soluble",1304
-2.06,"CC(C)=CCCC(C)=CC=O","no soluble",1306
-2.72,"CCCCOC(=O)c1ccc(O)cc1","no soluble",1211
-1.01,"Oc1cccc(c1)N(=O)=O","no soluble",4192
-7.16,"Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl","no soluble",260
-0.49,"CCCOC=O","soluble",1218
-2.68,"C=CCCC","no soluble",151
-2.437,"CC(CCCO[N+](=O)[O-])O[N+](=O)[O-]","no soluble",2829
-3.35,"CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O","no soluble",4706
0.74,"OCC1OC(O)C(O)C(O)C1O","soluble",1136
-2.34,"ICI","no soluble",610
