iter	Precision	Logloss
0	0.76731676	0.6562951089
1	0.7567287922	0.6366555285
2	0.7599237335	0.6181206708
3	0.8076258354	0.5984499579
4	0.7901701135	0.5865408568
5	0.8098780407	0.5733352672
6	0.7890341677	0.5590133595
7	0.7924333173	0.5401747577
8	0.7921230939	0.5313138663
9	0.7982044867	0.5205624974
10	0.7954873387	0.514424828
11	0.7969952381	0.5081193758
12	0.799901307	0.5006198841
13	0.8038169538	0.4881085104
14	0.8041197458	0.4838886055
15	0.8062456944	0.4808489579
16	0.8096092775	0.4753530791
17	0.806983225	0.4728456447
18	0.8070609048	0.4682751931
19	0.8090945433	0.4660260603
20	0.8180639311	0.4605472547
21	0.8178353692	0.4571343323
22	0.8187503837	0.4524233845
23	0.8181401467	0.4497188438
24	0.8184451515	0.4476139055
25	0.8195011912	0.441085023
26	0.8201741023	0.4378557784
27	0.8225990961	0.4356752863
28	0.8216880448	0.4333639628
29	0.8244272729	0.4309585779
30	0.8256505786	0.429159448
31	0.8247327593	0.4271401468
32	0.8259163867	0.4239455599
33	0.8277677889	0.4212695945
34	0.8312006816	0.4169980424
35	0.8321456311	0.4150094637
36	0.8336914169	0.4123370015
37	0.8336914169	0.4105717066
38	0.8349423906	0.4080762745
39	0.8352557209	0.4065254899
40	0.8343192651	0.4034720914
41	0.8343164348	0.4019763765
42	0.8343192651	0.4005612464
43	0.8355664477	0.3991490795
44	0.8361914382	0.3968265584
45	0.8380720324	0.394729568
46	0.8383862875	0.3922306535
47	0.8386837728	0.3902694381
48	0.8396243633	0.3886716272
49	0.8386837728	0.3877727186
50	0.8389970687	0.3849702174
51	0.8396032507	0.3835597219
52	0.8392520554	0.381835574
53	0.8401813496	0.3806357872
54	0.8408020232	0.3794332613
55	0.841734755	0.3773806321
56	0.8408020232	0.3761010053
57	0.841734755	0.374917338
58	0.8423246255	0.3744950576
59	0.8426008533	0.3730951036
60	0.8426008533	0.3718792136
61	0.8421951235	0.3706635424
62	0.8431105843	0.3690572894
63	0.8431466037	0.3680276377
64	0.844683628	0.3668607595
65	0.8456085354	0.3648915502
66	0.8456085354	0.3642427279
67	0.8468449007	0.3626534683
68	0.8474644401	0.3620856328
69	0.8486454173	0.3609733182
70	0.8492648878	0.3596619744
71	0.8494466282	0.3587745236
72	0.8497541603	0.3575502538
73	0.8500619152	0.3564858762
74	0.851295167	0.3547713546
75	0.855061552	0.3534597513
76	0.855061552	0.3532966848
77	0.854618317	0.3516187286
78	0.8557678581	0.350655168
79	0.8563869986	0.3496032395
80	0.856696905	0.3487795671
81	0.855859477	0.3461376216
82	0.8561703305	0.3453451689
83	0.8567927154	0.3438191571
84	0.8589782066	0.3417385454
85	0.8585610634	0.3402244617
86	0.8596993993	0.3387545313
87	0.8604333523	0.3383955075
88	0.8596993993	0.3368983644
89	0.8600103786	0.3357663497
90	0.8606330127	0.3346044289
91	0.860321583	0.3334842892
92	0.8620743259	0.3310982172
93	0.8630091253	0.3304794288
94	0.8630091253	0.3294220596
95	0.8650659601	0.3280932353
96	0.8658679444	0.3259077284
97	0.8661794254	0.3241493513
98	0.8661794254	0.3228797812
99	0.8682206613	0.3215285412
100	0.8675976017	0.3205612206
101	0.8679090197	0.3194878672
102	0.8697913203	0.3170913265
103	0.8704123353	0.31591164
104	0.8713455223	0.3149330316
105	0.8719687595	0.3129396733
106	0.8722807125	0.311252145
107	0.8730706907	0.3093030229
108	0.8738438317	0.3073215649
109	0.8738438317	0.3063377367
110	0.8735307599	0.3043705557
111	0.8747843952	0.3030296538
112	0.8766716095	0.3007898751
113	0.8766236165	0.2991031597
114	0.8765764123	0.297523899
115	0.8777615369	0.2959009465
116	0.8795445062	0.2943422176
117	0.8818092752	0.2922151327
118	0.8815019438	0.289220054
119	0.8819183008	0.2873527035
120	0.8827422985	0.2861384746
121	0.8839617258	0.2843987404
122	0.8855848372	0.2819754275
123	0.8853742437	0.2803492382
124	0.8846702015	0.2786437257
125	0.8842671092	0.2771132668
126	0.8845727037	0.2757968241
127	0.8842671092	0.2747088253
128	0.8842671092	0.2738525442
129	0.8878117549	0.2715044915
130	0.8861956457	0.2706410751
131	0.8866805971	0.2695914057
132	0.8872881316	0.2678688905
133	0.8885057017	0.2660142252
134	0.8888913294	0.2651600288
135	0.8891157407	0.2635768778
136	0.8907184039	0.2614961306
137	0.8910236468	0.2608165981
138	0.8931662191	0.2587030214
139	0.8940876219	0.2562579816
140	0.8962449728	0.2545523166
141	0.8965540159	0.2539911304
142	0.8974824254	0.2522709449
143	0.8974824254	0.2509942661
144	0.9015278525	0.2483864455
145	0.9021837978	0.2472678869
146	0.9009381957	0.2461557286
147	0.9012492736	0.2450278084
148	0.9003166835	0.2440413187
149	0.9006273324	0.243280207
150	0.9012492736	0.2424308441
151	0.9028078914	0.2416653466
152	0.9040586724	0.2404706065
153	0.9037698161	0.2392919069
154	0.9047059453	0.2386630068
155	0.9053311096	0.2379121119
156	0.9065840338	0.2372537617
157	0.9065840338	0.2366273682
158	0.9065840338	0.235714603
159	0.9072117972	0.2350663744
160	0.9072117972	0.2341643325
161	0.9078404307	0.2334868911
162	0.9075260051	0.2328090178
163	0.9081550742	0.2320703685
164	0.9084699359	0.2315405117
165	0.9081550742	0.2308271533
166	0.9084699359	0.2298877213
167	0.9091003148	0.2290662625
168	0.9091003148	0.2286194364
169	0.9091003148	0.2282159345
170	0.9094158324	0.2277948298
171	0.9094158324	0.2273672274
172	0.9091003148	0.2261668981
173	0.9091003148	0.2253174682
174	0.9081550742	0.2242520304
175	0.9084699359	0.2239498817
176	0.9091003148	0.2233671021
177	0.9091003148	0.2218308133
178	0.9091003148	0.2213864948
179	0.910680096	0.2207975144
180	0.9097315691	0.2201007423
181	0.9100475251	0.219396977
182	0.9103637006	0.217912821
183	0.9116184511	0.2168067355
184	0.9113038321	0.2163212491
185	0.9119332873	0.2155713654
186	0.9128791021	0.2148559877
187	0.9128791021	0.2141975596
188	0.9125636126	0.2138323944
189	0.9122483411	0.2131063017
190	0.9119332873	0.2122776737
191	0.9138268809	0.2117927558
192	0.9144598276	0.2102541714
193	0.9144598276	0.2098864004
194	0.9147766298	0.2087878709
195	0.9144598276	0.2070310029
196	0.9166820624	0.2039780108
197	0.9166820624	0.203739457
198	0.9166820624	0.2032408852
199	0.9176377584	0.2025232683
200	0.9176377584	0.2015948678
201	0.9179567668	0.2009321028
202	0.9176377584	0.2004860066
203	0.918915124	0.199822601
204	0.9185954493	0.1988616951
205	0.918915124	0.1984387472
206	0.9185954493	0.1981781521
207	0.9192350212	0.1976065404
208	0.918915124	0.1969468974
209	0.9192350212	0.1961750702
210	0.9195551413	0.195226903
211	0.918915124	0.1943309919
212	0.9201960507	0.1938330932
213	0.9208378542	0.1930828922
214	0.9214805536	0.1926104352
215	0.9224462865	0.1921707084
216	0.9227686475	0.1917791279
217	0.9227686475	0.1911874847
218	0.9214805536	0.1901847855
219	0.9214805536	0.1894186175
220	0.9211590918	0.1889457653
221	0.9227686475	0.1880775494
222	0.9234140458	0.1871278849
223	0.9237370837	0.1867245717
224	0.9234140458	0.1862045093
225	0.9234140458	0.1857984392
226	0.9240603476	0.1849661916
227	0.9237370837	0.1847450856
228	0.9240603476	0.184262527
229	0.925355669	0.1825745049
230	0.9269799366	0.1819013386
231	0.9263295458	0.1810244089
232	0.9273054746	0.1806724844
233	0.925680067	0.1802729776
234	0.926654627	0.179587663
235	0.9273054746	0.1791665898
236	0.926654627	0.1786599112
237	0.9276312413	0.1782377893
238	0.9269799366	0.1779450322
239	0.9276312413	0.1776272085
240	0.9282834619	0.1772370575
241	0.9282834619	0.1766824711
242	0.9282834619	0.1761389959
243	0.9289366003	0.1756226203
244	0.9289366003	0.1752483217
245	0.9286099162	0.1747527116
246	0.9289366003	0.1732442043
247	0.9289366003	0.1728895976
248	0.9292635143	0.1725529124
249	0.9289366003	0.1721242787
250	0.9282834619	0.1717087546
251	0.9282834619	0.171413899
252	0.9286099162	0.170772278
253	0.9292635143	0.1705232637
254	0.9295144707	0.1699629396
255	0.9298405419	0.1696507539
256	0.9298405419	0.1693202569
257	0.9295144707	0.1685872024
258	0.930493371	0.1674791851
259	0.930493371	0.1671761025
260	0.930493371	0.1668692356
261	0.9318017831	0.1663477879
262	0.9321294613	0.1657228141
263	0.9321294613	0.1653704195
264	0.93245737	0.1642770709
265	0.93245737	0.1639457823
266	0.9321294613	0.1637111343
267	0.93245737	0.1631773965
268	0.93245737	0.1629245751
269	0.9331138801	0.162472417
270	0.9337713152	0.1619869247
271	0.9354189633	0.160872687
272	0.9354189633	0.1604984721
273	0.9354189633	0.1601509674
274	0.9354189633	0.1599240387
275	0.9367412742	0.1593163759
276	0.9364103461	0.1590029244
277	0.9364103461	0.1582891455
278	0.9354189633	0.1579138538
279	0.9350889687	0.1574976621
280	0.9357491909	0.157168535
281	0.9364103461	0.1568912752
282	0.9367412742	0.1564106056
283	0.9374038325	0.1558353288
284	0.9374038325	0.1555910814
285	0.9380673288	0.1553716452
286	0.9383994293	0.1551392244
287	0.9377354633	0.1548413193
288	0.9377354633	0.154723821
289	0.938731765	0.1544963351
290	0.938731765	0.1542569269
291	0.9390643362	0.154008071
292	0.938731765	0.1535654462
293	0.9393971431	0.1533925181
294	0.939730186	0.1531727339
295	0.9399455865	0.1525575651
296	0.9409427824	0.1521770546
297	0.9402777502	0.1518604832
298	0.9422756729	0.1509809062
299	0.9419420964	0.1504805394
300	0.9422756729	0.1498665238
301	0.9429435353	0.1496410537
302	0.9432778216	0.1494116463
303	0.9419420964	0.1490214968
304	0.9426094858	0.1488963701
305	0.9426094858	0.148662753
306	0.9426094858	0.148195556
307	0.9429435353	0.1474641849
308	0.943612345	0.1472312665
309	0.9446173404	0.1468993645
310	0.9446173404	0.1466704222
311	0.9442821042	0.1464308301
312	0.9451498899	0.1452499749
313	0.946825163	0.1447783397
314	0.9461543416	0.1439209802
315	0.9461543416	0.1434925375
316	0.9461543416	0.1433490536
