iter	Passed	Remaining
0	98	98365
1	114	57001
2	127	42310
3	139	34657
4	152	30309
5	163	27087
6	174	24812
7	186	23081
8	197	21791
9	209	20781
10	222	19962
11	234	19277
12	246	18683
13	258	18208
14	270	17785
15	279	17219
16	292	16927
17	305	16649
18	316	16335
19	328	16104
20	340	15895
21	353	15732
22	365	15544
23	377	15360
24	390	15222
25	401	15047
26	413	14916
27	426	14805
28	437	14665
29	448	14512
30	460	14381
31	471	14273
32	483	14154
33	494	14053
34	506	13958
35	518	13872
36	528	13767
37	540	13678
38	552	13606
39	563	13523
40	575	13450
41	586	13370
42	597	13299
43	609	13241
44	621	13179
45	632	13119
46	644	13064
47	655	13002
48	667	12949
49	678	12896
50	690	12839
51	701	12785
52	712	12735
53	724	12683
54	735	12640
55	746	12591
56	758	12548
57	770	12513
58	781	12466
59	793	12428
60	805	12394
61	816	12353
62	827	12309
63	839	12282
64	851	12249
65	863	12220
66	875	12188
67	886	12149
68	897	12112
69	908	12073
70	920	12037
71	931	12004
72	942	11973
73	955	11952
74	967	11938
75	980	11915
76	992	11894
77	1004	11877
78	1016	11848
79	1027	11820
80	1039	11798
81	1051	11771
82	1063	11749
83	1075	11726
84	1087	11703
85	1098	11679
86	1110	11649
87	1121	11624
88	1133	11606
89	1144	11571
90	1154	11535
91	1164	11497
92	1175	11461
93	1186	11433
94	1198	11415
95	1209	11393
96	1221	11369
97	1233	11353
98	1246	11345
99	1259	11331
100	1269	11303
101	1281	11278
102	1293	11263
103	1305	11249
104	1317	11228
105	1329	11212
106	1341	11193
107	1353	11176
108	1365	11159
109	1377	11142
110	1389	11127
111	1403	11126
112	1415	11109
113	1427	11096
114	1439	11080
115	1451	11060
116	1462	11037
117	1474	11019
118	1485	11000
119	1496	10977
120	1508	10957
121	1520	10939
122	1531	10919
123	1542	10894
124	1553	10877
125	1566	10868
126	1579	10854
127	1590	10834
128	1602	10822
129	1613	10801
130	1625	10780
131	1636	10760
132	1648	10745
133	1659	10727
134	1671	10708
135	1682	10690
136	1694	10673
137	1705	10655
138	1717	10635
139	1728	10615
140	1739	10596
141	1751	10583
142	1763	10568
143	1775	10551
144	1787	10538
145	1798	10521
146	1810	10503
147	1821	10486
148	1833	10472
149	1845	10459
150	1857	10444
151	1869	10431
152	1881	10417
153	1893	10402
154	1905	10387
155	1916	10367
156	1927	10352
157	1939	10333
158	1951	10322
159	1963	10306
160	1975	10294
161	1987	10282
162	1998	10264
163	2010	10250
164	2022	10233
165	2033	10218
166	2046	10205
167	2057	10191
168	2069	10176
169	2080	10160
170	2092	10145
171	2104	10129
172	2116	10116
173	2128	10102
174	2139	10087
175	2152	10075
176	2163	10061
177	2176	10050
178	2190	10044
179	2201	10030
180	2212	10013
181	2224	9998
182	2235	9981
183	2247	9968
184	2260	9956
185	2271	9940
186	2282	9924
187	2293	9907
188	2305	9892
189	2316	9877
190	2328	9861
191	2339	9846
192	2351	9831
193	2362	9814
194	2374	9801
195	2387	9792
196	2399	9780
197	2410	9764
198	2421	9748
199	2433	9734
200	2444	9716
201	2456	9702
202	2467	9687
203	2479	9673
204	2490	9657
205	2501	9642
206	2512	9626
207	2524	9610
208	2535	9596
209	2545	9577
210	2557	9561
211	2569	9550
212	2581	9538
213	2593	9525
214	2604	9508
215	2615	9491
216	2626	9477
