logS,smiles
0.55,COP(=O)(OC)OC
-1.34,COP(=O)(OC)OC=C(Cl)Cl
-3.59,CCOP(=S)(OCC)SCCl
-0.96,CNC(=O)CSP(=S)(OC)OC
-2.63,COP(=O)(OC)SCCSC
-1.99,CN(C=O)C(=O)CSP(=S)(OC)OC
-1.08,CC(C)OP(=O)(OC(C)C)F
-1.45,CCNC(=O)CSP(=S)(OC)OC
0.45,CCOP(=O)(OCC)OCC
-0.86,CC(C(=O)NC)SCCSP(=O)(OC)OC
-1.14,CCCCOP(=O)(OCC)OCC
-2.8,CCOP(=O)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
0.33,COC1=COC(=CC1=O)CSP(=O)(OC)OC
-1.51,CCCOP(=O)(OCCC)OCCC
-1.5,CCCCOP(=O)(OC)OCCCC
-1.47,CCCCCOP(=O)(OCC)OCC
-1.84,CCCCOP(=O)(OCC)OCCCC
-2.9,C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2
-1.77,CC(C)(C)C1=CC(=C(C=C1)OP(=O)(NC)OC)Cl
