logS,smiles
0.15,C[N+](=O)[O-]
-1.58,C(=N)(N)N[N+](=O)[O-]
-1.86,C(=NN)(N)N[N+](=O)[O-]
-1.92,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])Cl
-1.46,CC([N+](=O)[O-])(Cl)Cl
-0.24,CC[N+](=O)[O-]
-0.85,CN(C(=O)N)N=O
-1.5,CCC([N+](=O)[O-])(Cl)Cl
-2.25,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
-0.85,CCN(C#N)N=O
0,C(C(CO)([N+](=O)[O-])Br)O
-1.19,CCC([N+](=O)[O-])Cl
-1.19,CC(CCl)[N+](=O)[O-]
-0.77,CC(=O)N(C)N=O
-0.47,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O
-0.81,CCC[N+](=O)[O-]
-0.96,CCN(C(=O)N)N=O
-1.64,C1=C(C(=O)NC(=O)N1)[N+](=O)[O-]
-2.28,C1(C(=O)NC(=O)NC1=O)[N+](=O)[O-]
-1.62,CC1=NC=C(N1)[N+](=O)[O-]
-1.57,C1C(COCO1)([N+](=O)[O-])Br
-0.55,CCOC(=O)N(C)N=O
-1.4,C1CN(CCN1N=O)N=O
-1.45,CCCC[N+](=O)[O-]
0.02,CCN(CC)N=O
-1.16,CC1=NC=C(N1C)[N+](=O)[O-]
-0.17,C1CCN(CC1)N=O
-1.95,CCC(CC)[N+](=O)[O-]
-4.55,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)[N+](=O)[O-]
-3.14,C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])[N+](=O)[O-]
-3.88,C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-]
-4.4,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
-3.49,C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-]
-2.67,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])F
-2.88,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
-1.53,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-]
-0.99,C1=CC(=C(C=C1[N+](=O)[O-])Br)O
-3.01,C1=CC(=CC=C1[N+](=O)[O-])Cl
-2.76,C1=CC(=CC(=C1)Cl)[N+](=O)[O-]
-2.84,C1=CC=C(C(=C1)[N+](=O)[O-])Cl
-3.32,C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-]
-3.08,C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-]
0.37,C1=C(C=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-]
-2.96,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
-4.06,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
-3.02,C1=CC(=C(C=C1S(=O)(=O)N)[N+](=O)[O-])Cl
-1.86,C1=CC=C(C=C1)[N+](=O)[O-]
-2.19,C1=CC=C(C(=C1)[N+](=O)[O-])O
-1.45,C1=CC(=CC=C1[N+](=O)[O-])O
-1.19,C1=CC(=CC(=C1)O)[N+](=O)[O-]
-0.99,C1=CC(=C(C=C1O)[N+](=O)[O-])O
-1.1,C1=CC(=C(C=C1O)O)[N+](=O)[O-]
-1.88,C1=CC(=C(C(=C1)O)[N+](=O)[O-])O
-1,C1=CC(=C(C(=C1)O)O)[N+](=O)[O-]
0.08,C1=CC(=C(C=C1[N+](=O)[O-])O)O
0.37,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)O
-2.06,C1=CC(=CC(=C1)[N+](=O)[O-])N
-2.24,C1=CC(=CC=C1N)[N+](=O)[O-]
-2.19,C1=CC=C(C(=C1)N)[N+](=O)[O-]
-2.66,C1=CC(=CC(=C1)S(=O)(=O)N)[N+](=O)[O-]
-2.52,C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)N
-2.79,C1=CC=C(C(=C1)[N+](=O)[O-])S(=O)(=O)N
-1.26,CC1=NC=C(N1CCO)[N+](=O)[O-]
-5.82,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-]
-1.1,C1=C(C=C(C(=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-])[N+](=O)[O-]
-1.52,C1=CC(=C(C(=C1)Br)[N+](=O)[O-])C(=O)O
-2.63,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C(=O)O
Err:502,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])Cl
Err:502,C1=CC(=C(C=C1Cl)C(=O)O)[N+](=O)[O-]
Err:502,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O
