"logS","smiles","Category","id"
-3.46,"Ic1c(I)c(c([nH]1)I)I","no soluble",3937
-3.78,"c1c(C)c(C)c(cc1)Nc1ccccc1C(O)=O","no soluble",3955
-0.62,"CC(C)[N+](=O)[O-]","no soluble",897
-1.71,"CCCCC(CC)CN","no soluble",990
-0.59,"O1CC1C","no soluble",3002
-6.01,"CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21","no soluble",1129
-0.622,"CCCC(=O)NCCNC(=O)CCC","no soluble",2032
-0.4,"OCC(C)(C)C","soluble",3731
-0.5,"CC(C)(C)CCO","soluble",1414
-5.9,"O=C5\C=C4/C(=C3/[C@@H](c1ccc(N(C)C)cc1)C[C@]2([C@@H](CC[C@]2(C#CC)O)[C@@H]3CC4)C)CC5","no soluble",4771
-3.567,"CCCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21","no soluble",2553
-0.762,"CC(C)(NC(=O)c1ccccc1)C(=O)O","no soluble",2177
-2.287,"Cc1nc2nc[nH]c(=O)c2nc1C","no soluble",1917
-1.854,"CCOc1ccc(N(CC)C(N)=O)cc1","no soluble",2407
-8.8,"c12c3cccc1cccc2c1cccc2c1c3ccc2","no soluble",3692
-6.14,"CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC","no soluble",1201
-2.118,"C#CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12","no soluble",2461
-3.9,"CCCCOC(=O)CCCCCCCCC(=O)OCCCC","no soluble",1213
-2.72,"CCCCOC(=O)c1ccc(O)cc1","no soluble",1211
-2.677,"COc1cc(OC)cc(OC)c1","no soluble",1884
-4.699,"CCCCOC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O","no soluble",2609
-1.81,"CCCCCCCO","no soluble",1425
-7.85,"c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2","no soluble",88
-1.62,"C=CCN(CC=C)C(=O)C(Cl)Cl","no soluble",530
-2.55,"c1ccccc1C(O)c2ccccc2","no soluble",4324
-10.14,"Clc1cc(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl","no soluble",1729
-1.6,"NC(=O)NC1NC(=O)NC1=O","no soluble",4312
-3.12,"c1c(C(=O)c2ccccc2)cccc1","no soluble",3918
-1.04,"OCC(CC)(C)C","no soluble",3763
0.266,"CN(C)C(=O)c1ccc(C(=O)N(C)C)cc1","soluble",2253
-2.63,"CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12","no soluble",704
-4.42,"O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@H](C(=O)C)CC[C@H]3[C@@H]1CC2)C)(C)CC4","no soluble",4725
-2.145,"CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21","no soluble",2528
-3.638,"Nc1ccccc1C=Nc1ccccc1O","no soluble",2301
-5,"COc1cc2cc3c(C)coc3cc2oc1=O","no soluble",2787
-2.159,"NC(=O)NCCCCCC(=O)O","no soluble",2024
1.05,"OC1CCOC1","soluble",1123
-4.55,"CCN1c2ncccc2C(=O)Nc2c(C)cc(C)nc21","no soluble",649
-2.68,"O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1","no soluble",671
-2.68,"O=S(=O)(c1c(Cl)cc2c(c1)S(=O)(=O)NCN2)N","no soluble",4705
-1.37,"N=C(N)N[N+](=O)[O-]","no soluble",898
-2.64,"CN(C)CCN(Cc1ccccc1)c1ccccn1","no soluble",921
-1.6,"O=C(N)NC1C(NC(N1)=O)=O","no soluble",3801
-2.74,"CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O","no soluble",725
-4.634,"CCN2c1ncccc1N(C)C(=S)c3cccnc23","no soluble",4507
-2.594,"NS(=O)(=O)c1cc2c(s1)SCCC2O","no soluble",2655
-3.59,"c1c(Cl)c(Cl)cc(c1)Cl","no soluble",3449
-3.283,"COC(=O)CCCCCCCCC(=O)OC","no soluble",2042
-3.99,"CC(C)Cc1ccc(cc1)C(C)C(O)=O","no soluble",3490
-2.968,"COC(=O)c1ccc(C(=O)O)cc1","no soluble",2109
-1.743,"CCOC(=O)c1cnc(=S)[nH]c1","no soluble",1906
-1.678,"O=[N+]([O-])OCCCCO[N+](=O)[O-]","no soluble",1959
-4.62,"Cc1ccc(-c2ccccc2)cc1","no soluble",193
-2.531,"CCC(C)c1ccccc1OC(=O)NC","no soluble",2157
-4.11,"CCSCS[P+]([S-])(OCC)OCC","no soluble",3977
-2.7,"Fc1ccccc1Br","no soluble",11
-4.173,"CC1C(N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c2c1F","no soluble",2801
-1.6,"NC(Cc1ccc(O)c(O)c1)C(=O)O","no soluble",992
-2.831,"Clc2ccc1oc(=O)[nH]c1c2","no soluble",4424
-0.112,"O=C(NCCO)C(=O)NCCO","soluble",2029
-2.717,"CC(NC(=O)COC(=O)c1ccccc1)C(N)=O","no soluble",2758
-3.37,"O=C1C(=CN(CC)c2c1ccc([nH0]2)C)C(O)=O","no soluble",3423
-4.88,"CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C","no soluble",4014
-3.999,"CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C","no soluble",4234
-1.91,"BrC(Br)Br","no soluble",51
0.06,"Cc1cnc2ncncc2n1","soluble",665
-3.487,"c1coc(-c2nc3ccccc3[nH]2)c1","no soluble",1923
-2.75,"Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl","no soluble",440
-5.37,"CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C","no soluble",4457
-6.34,"CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O","no soluble",502
-2.29,"O=C(O)COc1ccc(Cl)cc1","no soluble",426
-1.95,"Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O","no soluble",4151
-2.604,"O=C(c1cccc(F)c1)N(O)c1ccccc1","no soluble",2604
-0.63,"Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C","no soluble",831
-3.45,"CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO","no soluble",4123
-3.9,"CN(C(=S)SSC(N(C)C)=S)C","no soluble",3963
-1.519,"COc1ccc2cc(C(C)C(=O)OCCN3CCNCC3)ccc2c1","no soluble",2857
-2.615,"COc1ccc2cc(C(C)C(=O)OCC(O)CO)ccc2c1","no soluble",2778
